,VTI,VXUS,BND,VOO
2015-01-01,100.60509646399835,100.36224311027931,100.20341844867922,100.84567973386646
2015-01-02,100.38520895508485,100.04171915030639,100.73496173936663,100.73817531691735
2015-01-03,99.89958215093057,99.98446516401641,100.65191483700838,100.18666192470019
2015-01-04,100.2172630686768,99.07065105963267,99.8061156309969,100.44691284841636
2015-01-05,99.11877481172243,98.41914535181618,99.55069273114849,99.13771674753525
2015-01-06,100.80087093383496,99.53904616226043,99.52279121484861,100.5958064546862
2015-01-07,100.22813821611216,99.16215098950123,99.14993160466791,100.10498708193496
2015-01-08,99.59511657654068,98.50093000175426,98.92029806622959,99.78448642831707
2015-01-09,99.62510125300558,97.88826523803006,99.07868378694988,99.62027267112751
2015-01-10,99.90474814261205,96.93884716111205,98.37831382068717,99.95842408617027
2015-01-11,100.78145502996165,97.6692256615469,98.34944671506307,100.79174211787314
2015-01-12,99.14786454011806,96.03601907258349,98.13400584986945,99.34660352346287
2015-01-13,99.57674144461265,95.32774698966271,98.02807882526794,99.72254843801376
2015-01-14,98.862229221006,95.14352578092803,98.47109388709015,99.14934824249467
2015-01-15,97.9720237485115,94.30522449285372,98.56613531919858,98.4167806938905
2015-01-16,97.48736135015102,93.8338899965268,98.17484687659042,97.76221650016545
2015-01-17,98.42421963879292,95.26328503922863,98.30368248624839,98.85764122459643
2015-01-18,98.86995169667038,95.2104788769402,98.34612299915018,99.55097646788853
2015-01-19,98.87483864208376,96.08907793262435,97.64089730257207,99.71663548632168
2015-01-20,99.01664135506194,96.0087214374745,97.63791406265663,99.54871958188572
2015-01-21,98.8163852828787,96.0525033871578,98.19251072123011,99.25346287497464
2015-01-22,97.96080754299456,95.12111389894532,98.46365129824075,98.4459572418148
2015-01-23,97.42035457892794,95.00106557447687,98.5727658528439,98.05960300406743
2015-01-24,96.69372425798221,94.26489859290228,98.41409621723018,97.11246100491127
2015-01-25,97.06022670952444,94.66929311575286,98.4457333860294,97.44796564098606
2015-01-26,95.55603146653597,93.30624771673958,98.30594577393884,95.82823289937112
2015-01-27,95.42564933057456,93.42146025433206,99.00917540046795,95.70829207156676
2015-01-28,95.74586679349875,93.60453448385128,98.33527808816879,96.05139186034305
2015-01-29,95.85424608122524,95.04674756315178,98.57149534809759,96.20544822756527
2015-01-30,95.86018764792539,94.37544174295115,98.82643414293892,96.32413102672372
2015-01-31,96.75818867233012,94.52062476612262,99.18835635209808,97.00178688054986
