,VTI,VOO,VBR,VTV,MTUM,VXUS,BND
2015-01-01,0.006192085510888539,0.006196092727326793,0.008702990889681217,0.008343303153341055,0.015582264344107984,0.005838134377107539,5.720100021851613e-05
2015-01-02,-0.0016007757952150403,-0.003769991963222711,0.016818648239643193,0.0023807831921744743,-0.01224892889143335,0.0008599471701655921,0.000301842731743908
2015-01-03,-0.005250964696934076,-0.004485661616194954,-0.006869226252516125,-0.0028617491031136823,-0.023266186804550948,-0.004371702228653018,-0.00041234566867262475
2015-01-04,-0.0066840294251616335,-0.0050761910797942995,-0.012816718595688288,-0.0037748622945205377,-0.015054100896100719,-0.005914697548749254,-0.00031388147255109777
2015-01-05,0.017567223370163178,0.01732143169594971,0.015533491608016668,0.015078181798442161,0.0013603151287213434,0.014526617107832226,-4.051206037302568e-05
2015-01-06,0.0011610317435237117,0.0027702660574553057,-0.00669075332679398,0.0028516602832500725,-0.006034853935699086,0.0005386086955841331,3.90774856017966e-05
2015-01-07,-0.005802960660543671,-0.0082164873048912,0.010451614208617357,-0.004845982195025385,-0.016391042062999295,-0.003342315335360546,0.0003900296761436334
2015-01-08,-0.013877380323203537,-0.01371373986719341,-0.02311416448308206,-0.020739830561720636,-0.01115484394661602,-0.013642523365588818,0.00019295784201172966
2015-01-09,0.00920831607477539,0.00861571075095241,0.010403267190243336,0.007427667754422714,0.0059955250337074585,0.007704356366801105,-0.000334738273149101
2015-01-10,-0.008268184249436459,-0.007416332947746531,-0.004863538523462047,-0.001493198861862866,-0.009961127227801861,-0.00590418084553523,-0.00042435307172743723
2015-01-11,0.004019938639032288,0.004504939406252544,-0.00402217360942104,5.3437668979405654e-05,0.014011339126233176,0.0022455547790075216,0.00045568670694650347
2015-01-12,0.010953735869826646,0.011865962923361924,0.0007991133486471664,0.007546749810460331,0.015139987088663077,0.00807703508389402,0.00043822021417698264
2015-01-13,-0.0053415589856059655,-0.004855348856030722,-0.01366648374322182,-0.00971418941049924,-0.008221103276879338,-0.005870699035838079,0.0003868739595087243
2015-01-14,0.016354251240403208,0.0159222588932124,0.02133371850856819,0.018532312709469586,0.01081393414230536,0.014753801001366399,-7.224124244525884e-05
2015-01-15,0.005443556861470428,0.0029621817028498954,0.019936579863644374,0.004902736912195945,0.018968360729221166,0.005778999324983252,-0.000694189767119105
2015-01-16,0.010158437418899614,0.009632530967617452,0.00971902359861217,0.00742199870138433,0.011913664465813153,0.008217940768621819,-0.0004950729835281591
2015-01-17,-0.0019979943283356793,-0.0024698312912767996,0.010445298517658177,0.005588279448320323,-0.016523419442247597,0.00042907084877981784,-0.00012369916783833162
2015-01-18,-0.005072286557670948,-0.006183427301903884,0.005013836064838392,-0.0025997217958611363,-0.012227892006343003,-0.0030669589264003226,0.0002926164266769546
2015-01-19,0.002020891080239365,0.0005665010459902223,0.00659935217256145,-0.0014607579919169728,0.0027322339365531754,0.001656020379615384,7.44992140136653e-06
2015-01-20,-0.016686800652685182,-0.01657910367069307,-0.01165924740874603,-0.012467612267128222,-0.015852422739333866,-0.013263196971814942,5.706437908497871e-05
2015-01-21,-0.016466271255843698,-0.015336958512465033,-0.021423443613966368,-0.015184132658303586,-0.01863986408991305,-0.014365745032581704,8.015215677424653e-05
