,Market,SMB,HML,MOM,RF
2015-01-01,0.00619342124970129,3.048622396349023e-05,0.0038426519499129654,0.011671361330018205,5.720100021851613e-05
2015-01-02,-0.0023238478512175973,0.014763283851795046,0.00926049154463624,-0.008881085942462048,0.000301842731743908
2015-01-03,-0.004995863670021035,-0.005514366206933437,0.002566559631272947,-0.020305365640459535,-0.00041234566867262475
2015-01-04,-0.006148083310039189,-0.011032803774999992,0.002553769966859644,-0.009896323017055302,-0.00031388147255109777
2015-01-05,0.01748529281209202,0.0015980991010500973,-0.0033316193239220325,-0.01771485527421439,-4.051206037302568e-05
2015-01-06,0.0016974431815009097,-0.010689151273942165,0.0011240324484183746,-0.008219131225333453,3.90774856017966e-05
2015-01-07,-0.006607469541992848,0.016480207305127156,0.00443344008290015,-0.00997082076892522,0.0003900296761436334
2015-01-08,-0.013822833504533494,-0.0008979785313891112,-0.011893474995968418,-0.0003071383546614011,0.00019295784201172966
2015-01-09,0.009010780966834397,0.0036159638856707713,-0.0023325178059341338,-0.003609778137243288,-0.000334738273149101
2015-01-10,-0.007984233815539817,-0.006103361749660291,0.00966879176977933,-0.0007979736063400042,-0.00042435307172743723
2015-01-11,0.00418160556143904,-0.0027776517411885362,-0.0065698406893477225,0.010023380071679746,0.00045568670694650347
2015-01-12,0.011257811554338405,-0.005643293476058207,-0.005893022455134024,0.00394589417803314,0.00043822021417698264
2015-01-13,-0.005179488942414217,-0.002854526904326231,-0.007626622322683326,-0.005082716858268696,0.0003868739595087243
2015-01-14,0.016210253791339606,0.002807707738826768,0.004580602537336875,-0.004129603621765898,-7.224124244525884e-05
2015-01-15,0.0046164318085969176,0.015848311290351115,0.0013385478795256598,0.01599915193147979,-0.000694189767119105
2015-01-16,0.009983135268472226,0.0030109700250195923,-0.004122190069562325,0.0014260561195097445,-0.0004950729835281591
2015-01-17,-0.0021552733159827192,0.003021880585102471,0.012976634613806994,-0.013289985920441701,-0.00012369916783833162
2015-01-18,-0.005442666805748593,0.00770022138822986,0.00545698241553794,-0.006417512644926922,0.0002926164266769546
2015-01-19,0.0015360944021563176,0.009703383483062319,-0.004128354789223874,0.0005023508284119854,7.44992140136653e-06
2015-01-20,-0.016650901658687812,-0.0006609155008624453,0.006412449507096249,0.0014283506491600448,5.706437908497871e-05
2015-01-21,-0.016089833674717478,-0.007448599465750193,0.0004232583545373062,-0.0035753016956896915,8.015215677424653e-05
2015-01-22,0.0051135320373442775,0.019309568648354564,0.0034252537440145675,0.0009373372018084364,0.00010750412151884037
2015-01-23,-0.021956414757724543,-0.004902943836746997,0.0054852613314746125,0.029268415831841338,7.036437205151138e-05
2015-01-24,0.003918965860012658,0.000542796377121045,-0.009866316627577263,0.01839867802843606,0.0003677890246504531
2015-01-25,0.009623372738854207,-0.006668496808407667,0.007891142329089532,-0.02377617105467752,0.0003157949911106691
2015-01-26,0.025932122764425677,-0.003968391025679672,-0.011345228595119257,0.0007221568739438707,-2.7627544281790033e-05
2015-01-27,-0.017666521763480485,-0.0030707368480883215,-0.004177233092811748,0.014106438440228495,-0.00015863903251769543
2015-01-28,0.01846754957299441,-0.0035645889472630987,-0.007475889142712505,0.007952959570175156,-0.00025673343796997115
2015-01-29,0.0030555582794239327,0.013289916978473483,-0.011100924396289817,0.010768678862942012,0.00021280776709593996
2015-01-30,0.009516051054396284,-0.009848142867714028,-0.014116796908726548,0.012062007752252019,0.0002244937605443799
2015-01-31,0.003323981681779957,0.004089002973388137,-0.00529194845291261,0.006075620446304404,0.00022326153338892002
2015-02-01,-0.00792022136068478,0.01632998133016276,0.008592386850256331,-0.01395718393491928,0.00033774732986037415
2015-02-02,-0.010954085280280803,0.005286861486855724,0.013020034316932855,-0.013338239181446087,0.0004343873401186303
2015-02-03,0.005215271441561167,0.00907629754978012,0.01539642978978594,-0.01403857381195143,-0.00010645219583876471
2015-02-04,-0.009961554384586452,-0.009948338987670117,0.0005887936682648781,0.006022675652469668,0.0002181017910817747
2015-02-05,0.010044676562884039,0.0023105355795273734,0.009608020349076141,-0.01233274271997003,0.0009877251355740427
2015-02-06,0.007696229477221917,-0.006576627716071072,-0.011168730128369869,0.010444974188539395,6.056821937499821e-05
2015-02-07,0.008725655536162138,0.006464204606186825,-0.0014714583607041774,-0.00958824367512895,-0.00034617964652085503
2015-02-08,-0.004798880742157948,0.0072690626051729705,0.00432052678323293,-0.013372504202854253,0.00018549924543120769
2015-02-09,0.004895213882852509,-0.007431989491499834,-0.0009183155368157472,-0.0005704867164377191,-0.00022904942428491145
2015-02-10,0.004574381663783447,0.006421542186135975,0.008703189273044365,0.004397765650339663,-0.0003029726829149999
2015-02-11,-0.01052456162731805,0.002756827538368796,0.007413428514140858,0.00435127167507363,0.0013444487372118526
2015-02-12,0.007057865444548676,0.012490972726547873,0.00802011811097044,0.000432841978875507,3.1651902696959824e-05
2015-02-13,0.009249716782925726,-0.005432225289641985,-0.004782992270769924,-0.004742068421929772,0.00015674031090757713
2015-02-14,0.027379571986357487,-0.012108388743072023,-0.003093935283619519,-0.024509622848039675,-1.7692184838756178e-05
2015-02-15,0.013095288259000732,0.003456050391041901,-0.010990311088483359,-0.00307955308594408,0.00034500555181434087
2015-02-16,-0.008106861132936596,0.00039565187596599083,0.00273058634187393,-0.005554554535383604,0.0008062312958549596
2015-02-17,0.007792393705124582,-0.017811982531523378,-0.0030302996713273606,-0.00859193632443707,0.0003994436444205084
2015-02-18,-0.008831199162131575,-0.0029507349743566618,0.0060150826285968705,0.007919494665511345,-0.0002471054515040401
2015-02-19,-0.0034934835811095064,-0.005282398205851813,-0.004852627413306656,0.02321461640415074,0.0002585096300871582
2015-02-20,-0.014289459391124202,0.005835017027992847,0.02156276055185798,0.0011149992614220745,-0.0003476041761208325
2015-02-21,-0.005238455776961566,0.011131320385979297,-0.0022456175637972043,0.00964478866345816,0.0003749391741018983
2015-02-22,-0.010397597367429404,-0.002753112198771326,-0.023180247365855798,0.00971776709616643,5.1400890752188836e-05
2015-02-23,-0.014136784239939327,0.012753736834775398,-0.0054666648762507625,0.0058201125920040175,0.000172131792114764
2015-02-24,0.01720122329565653,-0.010124166920392405,0.003546625802570176,-0.008673886428149166,-0.00017819378575373258
2015-02-25,0.00579007170196945,0.0031951614610283715,-0.00542168303120978,0.0035524353835893413,9.590005468093448e-06
2015-02-26,0.0017276822150001508,0.0067904075544911735,0.013453109656816262,-0.022116956262547623,0.0008027947437549221
2015-02-27,-0.022344683051344582,-0.006193084763588989,0.009553854580246142,0.003411366019925609,-6.517953225769368e-05
2015-02-28,-0.0020206749428030397,-0.005141935941104948,-0.004694473323495998,0.013004044910441251,0.0002434016892931412
2015-03-01,-0.0076703404040564405,0.007072296553637769,0.005747333074838962,0.008154891260944477,0.0003292668254766044
2015-03-02,-0.009256266853509984,-0.007334248157526602,0.007343659263170122,0.003988077210667361,0.0001243689976626209
2015-03-03,0.0017720840349857792,0.012731799371024583,-0.0028346475160622277,0.008972765896939463,6.726768151611879e-05
2015-03-04,-0.0021320740674766452,0.010174262414177529,0.008944273461912998,0.004306840079608484,0.000542139555428048
2015-03-05,0.0006495386710570018,0.006751237074420234,-0.0012754253526008061,0.005291314318756712,8.996117181913669e-05
2015-03-06,0.0015351436258638088,0.0061038720221977425,-0.005616447234933183,0.02664074274225474,-0.00018591331024483363
2015-03-07,-0.013745276336193457,0.008266489544377826,0.011291439448519354,0.0043093911014278575,0.0003288626136830376
2015-03-08,0.00026203918253651427,-0.00855034134293726,-0.000548060779599355,-0.007124751877923571,0.000438086227754163
2015-03-09,-0.001309030787703254,-0.008194261171083033,-0.0032375991414714056,0.006827383625365307,-4.6604163650049515e-05
2015-03-10,-0.009177316132558988,0.00042949785725694245,0.004581258624509241,-0.005012688728928517,-1.741073983944292e-05
2015-03-11,0.0031090497335556698,-0.0132508218203541,-0.01373461655168125,0.0005629134730235504,6.372284744230686e-05
2015-03-12,0.004028049008825044,0.01511863225453398,0.008435159308458463,-0.007118618879156005,0.00012496283845356954
2015-03-13,-0.011278619653837578,-0.0025459870556205472,0.00041870570592887916,0.00711889404950851,-0.00012960087541151862
2015-03-14,0.00645717662799584,0.01619028162775915,0.0003538196574724282,0.003916939884677546,0.0003483273060586935
2015-03-15,-0.004271023191924106,0.0012882230323483586,0.0016479623492599666,0.001904689619956806,-0.00011252281536920904
